name	common	Ren_RNASEQ
NM_001045513	Raph1	7.55639
NM_030013	Cyp20a1	6.1365
NM_001077407	Nrp2	0.848555
NM_001077406	Nrp2	0.872395
NM_010939	Nrp2	1.36997
NM_001077405	Nrp2	2.337785
NM_001077403	Nrp2	0.90648
NM_001077404	Nrp2	1.58903
NM_011780	Adam23	1.95085
NM_001081658	Dytn	0
NM_001097644	Ccnyl1	4.46644
NM_033563	Klf7	5.288775
NM_009952	Creb1	4.67828
NM_133828	Creb1	2.97575
NM_001039493	Plekhm3	2.13011
NM_001037726	Creb1	0
NM_011086	Pikfyve	6.776525
NM_139270	Pth2r	0.0114565
NM_001039934	Mtap2	1.801075
NM_175510	Unc80	0.02290143
NM_008632	Mtap2	0
NM_177645	1110028C15Rik	2.335535
NM_001122738	1110028C15Rik	0.74831
NM_001113387	Myl1	0
NM_021285	Myl1	0.0305991
NM_001080809	Cps1	0
NM_011770	Ikzf2	2.066455
NM_177164	Vwc2l	0
NM_010233	Fn1	91.4881
NM_001005423	Mreg	23.1076
NM_001045533	March4	0.021313215
NM_008342	Igfbp2	149.5815
NM_176980	Ankar	0.00301665
NM_001170641	Rufy4	0
NM_001034060	Rufy4	0.02398605
NM_027884	Tns1	0.9408355
NM_001159884	Dnajb2	0.63643
NM_001039495	Ccdc108	0.0053319
NM_178055	Dnajb2	1.268795
NM_020266	Dnajb2	0.54525
NM_029342	Nhej1	1.275265
NM_001014974	Ttll4	12.22465
NM_009518	Wnt10a	0.2403345
NM_001159883	Dnajb2	0.5586125
NM_001159885	Dnajb2	0.464631
NM_176972	Usp37	10.8502
NM_007936	Epha4	2.08913
NM_008781	Pax3	0
NM_026713	Mogat1	0.195197
NM_001004173	Sgpp2	0.214773
NM_001159520	Pax3	0.127912
NM_009255	Serpine2	15.865
NM_172849	9430031J16Rik	0.0062144
NM_007735	Col4a4	0.0490946
NM_007734	Col4a3	0.024460845
NM_029777	Rhbdd1	5.06932
NM_172430	Sphkap	0
NM_133975	Trip12	50.31095
NM_152915	Dner	1.889035
NM_001003948	Pid1	11.84765
NM_001081746	Gm7609	0
NM_013673	Sp100	0.0052716
NM_001144992	2810459M11Rik	0.012807245
NM_001144993	2810459M11Rik	0.01297012
NM_153530	Dis3l2	4.63784
NM_008801	Pde6d	7.492635
NM_001172157	Dis3l2	0
NM_001081082	Alpi	0
NM_010566	Inpp5d	0.701055
NM_001110212	Gigyf2	17.63525
NM_001110192	Inpp5d	1.752645
NM_145079	Ugt1a6a	0
NM_001111314	Ngef	0
NM_019867	Ngef	0.23455
NM_001110193	Inpp5d	0.882654135
NM_201410	Ugt1a6b	0
NM_029846	Atg16l1	6.83565
NM_201641	Ugt1a10	0
NM_146112	Gigyf2	2.526055
NM_201644	Ugt1a9	0
NM_201642	Ugt1a7c	0.04455845
NM_177646	Dgkd	10.5326
NM_029269	Spp2	0.0350436
NM_029122	Iqca	0.0353555
NM_139152	Asb18	0
NM_178119	Agap1	3.788505
NM_001037136	Agap1	0.9712725
NM_001111312	Lrrfip1	4.07349
NM_001033408	Rbm44	1.321865
NM_023046	Asb1	0.657183
NM_207225	Hdac4	4.06486
NM_001039126	Asb1	1.56413
NM_007855	Twist2	0.5188525
NM_172463	Sned1	0.339717
NM_207031	Ano7	0.00947715
NM_174874	Atg4b	7.284405
NM_008798	Pdcd1	0.0301576
NM_001039475	Slco6b1	0.0111741
NM_028942	Slco6c1	0.012531
NM_013626	Pam	3.067515
NM_027584	Slco6d1	0
NM_001164233	Slco6d1	0
NM_011800	Cdh20	0
NM_173187	2310035C23Rik	3.863975
NM_178779	Rnf152	0.0908135
NM_013784	Pign	3.889705
NM_029349	2310035C23Rik	0
NM_009399	Tnfrsf11a	0.266914
NM_001160368	Rnf152	0.09795
NM_133821	Phlpp1	3.226435
NM_009741	Bcl2	0.495747
NM_198028	Serpinb10-ps	0
NM_001160307	Serpinb10-ps	0.0083452
NM_172853	Cdh7	0
NM_001081386	Cdh19	0
NM_001077425	Cntnap5a	0
NM_001081276	Clasp1	0.949194
NM_177548	Clasp1	0
NM_029709	Clasp1	9.58923
NM_145506	Epb4.1l5	4.165865
NM_001081125	Gli2	2.43355
NM_001113416	Epb4.1l5	5.64935
NM_022327	Ralb	15.7883
NM_001085409	Steap3	0.509832
NM_001172074	3110009E18Rik	0.3619995
NM_133186	Steap3	2.516595
NM_028439	3110009E18Rik	2.36403
NM_178082	Insig2	0
NM_133748	Insig2	4.995705
NM_029955	Ccdc93	2.30127
NM_001025156	Ccdc93	0.64908
NM_145100	Lypd1	0.08227675
NM_027677	Gpr39	0.3042205
NM_145128	Mgat5	2.473525
NM_027678	Zranb3	6.08513
NM_028135	Tmem163	0.1462149
NM_001033041	Acmsd	0.08897945
NM_026390	Ubxn4	10.1218
NM_177445	Dars	44.63425
NM_172485	Thsd7b	0.0066311
NM_009581	Zp3r	0.05717195
NM_026976	Faim3	0
NM_001114662	Mfsd4	0.05756
NM_007799	Ctse	0
NM_172510	Mfsd4	1.44863
NM_001081011	Srgap2	10.6807
NM_175382	Fam72a	1.642825
NM_001145804	Nucks1	62.8752
NM_175294	Nucks1	8.5051
NM_172516	Dstyk	3.73584
NM_001160318	Nfasc	0
NM_001160317	Nfasc	0.4083845
NM_182716	Nfasc	0.154124
NM_001160316	Nfasc	0.602211
NM_001099276	Pik3c2b	1.378055
NM_144530	Zc3h11a	35.6883
NM_009307	Syt2	0.01818734
NM_001081307	Ppp1r12b	1.190535
NM_053106	Lmod1	0.792181
NM_001033409	Lgr6	0.1191915
NM_030676	Nr5a2	0
NM_001159769	Nr5a2	6.77063
NM_011210	Ptprc	0
NM_001111316	Ptprc	0
NM_133239	Crb1	0.04237675
NM_001166501	Dennd1b	1.800375
NM_181347	Dennd1b	2.5684
NM_001081027	Kcnt2	0.482752
NM_013835	Trove2	5.78223
NM_020025	B3galt2	0
NM_145991	Cdc73	15.8538
NM_153171	Rgs13	0
NM_153539	Fam5c	0
NM_001145807	Fam5c	0
NM_008869	Pla2g4a	1.225805
NM_001110146	Prg4	0
NM_021400	Prg4	0.37746
NM_024458	Pdc	0.0942364
NM_001024720	Hmcn1	0.2092295
NM_001039644	Edem3	5.56235
NM_022018	Fam129a	4.148745
NM_025819	1200016B10Rik	15.4404
NM_197990	1700025G04Rik	1.36915
NM_010877	Ncf2	0.5091355
NM_175460	Nmnat2	6.49648
NM_016846	Rgl1	0.733238
NM_177756	Glt25d2	0.0361962
NM_007842	Dhx9	59.7623
NM_021433	Stx6	5.75618
NM_009782	Cacna1e	0.01471275
NM_011273	Xpr1	4.643275
NM_001145781	Acbd6	1.039331
NM_026683	Acbd6	6.04491
NM_177838	Fam163a	0.11836345
NM_001134741	Tdrd5	3.496145
NM_001039184	Cep350	5.425825
NM_028250	Acbd6	5.5242
NM_023141	Tor3a	5.01084
NM_001159968	Ralgps2	0
NM_001159966	Ralgps2	3.54852
NR_027640	Ralgps2	0.7747
NM_001159967	Ralgps2	2.200395
NM_177644	Rasal2	2.721565
NM_023884	Ralgps2	0
NM_011931	Rfwd2	3.74584
NM_001085376	Pappa2	0.1524739
NM_001162896	4930523C07Rik	0.0589861
NM_009786	Cacybp	89.0968
NM_001038621	Rabgap1l	2.14628
NM_080844	Serpinc1	0.216759
NM_001039482	Klhl20	3.99054
NM_172646	Dnm3	0.0501915
NM_001038619	Dnm3	0.1127385
NM_008030	Fmo3	0
NM_010629	Kifap3	10.63305
NM_011347	Selp	0.09314305
NM_138314	Nme7	12.9294
NM_001081126	Gpr161	0.675494
NM_028759	Dcaf6	3.53245
NM_145512	Sft2d2	8.2449
NM_001160049	Dusp27	0.9859695
NM_011137	Pou2f1	5.309895
NM_175296	Mael	1.018685
NM_198932	Pou2f1	3.24799
NM_001164306	Gm4846	0
NM_001033344	Dusp27	0.3975425
NM_175461	Fam78b	0.05710625
NM_033652	Lmx1a	0.0522563
NM_030724	Uck2	53.1484
NM_001160261	Fam78b	0.05623375
NM_001160262	Fam78b	0
NM_183355	Pbx1	3.74941
NM_008783	Pbx1	0
NM_023284	Nuf2	11.19225
NM_001109985	Nos1ap	0.245174
NM_133806	Uap1	12.7128
NM_027528	Nos1ap	0.1557495
NM_001081304	Atf6	6.07291
NM_011070	Pfdn2	56.54795
NM_013489	Cd84	0
NM_009803	Nr1i3	0.0421165
NM_027972	Ccdc19	0.398124
NM_008327	Ifi202b	0.01874045
NM_011940	Ifi202b	0.0152359
NM_001013779	Aim2	5.28919
NM_011825	Grem2	0.257309
NM_019445	Fmn2	1.134145
NM_176916	Pld5	0.0077446
NM_010098	Opn3	0.7404075
NM_029453	Wdr64	0.01524485
NM_011785	Akt3	8.926425
NM_029756	Sdccag8	1.73552
NM_007422	Adss	43.64445
NM_001034899	Gm16432	0.0091448
NM_001161665	Kif26b	0.06243335
NM_001033285	Cdc42bpa	5.51246
NM_146105	Cnst	2.513975
NM_001081175	Itpkb	2.817535
NM_028408	Cnih3	0
NM_001160212	Cnih3	0.11621205
NM_001160211	Cnih3	0
NM_145514	Wdr26	23.60625
NM_175186	Lin9	1.317187
NM_001103182	Lin9	4.86466
NM_009794	Capn2	13.96225
NM_010135	Enah	7.711525
NM_001083121	Enah	36.8313
NM_001083120	Enah	10.54011
NM_133815	Lbr	46.0913
NM_008680	Enah	0
NM_144796	Susd4	5.42171
NM_022019	Dusp10	1.582345
NM_145515	Mark1	1.66713
NM_011794	Bpnt1	13.5921
NM_001163754	Rab3gap2	5.04357
NM_009367	Tgfb2	2.876155
NM_028848	Spata17	0
NM_026367	Gpatch2	4.1847
NM_029067	Spata17	0.07754
NM_021408	Ush2a	0.000957125
NM_011935	Esrrg	0.01738855
NM_008976	Ptpn14	27.9758
NM_001081363	Cenpf	35.02265
NM_001159850	Kcnk2	0
NM_010607	Kcnk2	0
NR_027627	Kcnk2	0.0092528
NM_178775	Rps6kc1	1.72877
NM_144880	Ppp2r5a	9.194395
NM_011633	Traf5	0.2126155
NR_030669	1700034H15Rik	0.1238435
NM_001134829	Lpgat1	2.003875
NM_172266	Lpgat1	6.80238
NM_010600	Kcnh1	0
NM_144881	Hhat	0.4456185
NM_181546	Syt14	3.00744
NM_001038607	Kcnh1	0.0940818
NM_008484	Lamb3	1.487745
NM_008882	Plxna2	0.415018
NM_007758	Cr2	0.0665825
NM_010778	Cd46	0.09586775
NM_011283	Rp1	0
NM_011441	Sox17	0.15473175
NM_008866	Lypla1	31.7777
NM_025300	Mrpl15	21.7523
NM_011011	Oprk1	0.10610465
NM_010342	Npbwr1	0.0074928
NM_009826	Rb1cc1	5.72239
NM_183028	Pcmtd1	9.73157
NM_021511	Rrs1	10.27286
NM_175236	Adhfe1	0
NR_027664	Adhfe1	0.195695
NM_178399	3110035E14Rik	0
NM_008651	Mybl1	5.975375
NM_173443	Vcpip1	9.559905
NR_004410	Snord87	0
NM_177722	6030422M02Rik	0.2135865
NR_024067	Snhg6	71.9669
NM_001037759	Sgk3	0.927267
NM_013715	Cops5	29.45625
NM_027033	Lrrc67	0.03888765
NM_001102430	Arfgef1	15.8699
NM_028173	Tram1	21.79195
NM_001011873	Xkr9	0
NR_004447	Gm5523	0.12659255
NM_010827	Msc	1.133275
NM_177781	Trpa1	0.128576
NM_009352	Terf1	31.7935
NM_011291	Rpl7	94.71955
NM_025773	Ube2w	7.291235
NM_027415	Tmem70	9.577215
NM_026392	Tmem70	0
NM_016923	Ly96	0
NM_001159711	Ly96	0.479168
NM_010267	Gdap1	0.0417388
NM_053191	Pi15	0.04208695
NM_031402	Crispld1	0.193467
NM_030033	Crisp4	0
NM_001040027	Gm15386	0
NM_009334	Tcfap2b	0
NM_001025305	Tcfap2b	0.01692863
NM_008563	Mcm3	45.9952
NM_010552	Il17a	0
NM_145856	Il17f	0.299315
NM_028829	Paqr8	1.22403
NM_177409	Tram2	3.41221
NM_133252	Tram2	0
NM_029398	Tmem14a	1.307624
NM_183322	Khdc1a	0.03273435
NR_002858	Gm4956	0
NM_001033904	Khdc1c	0.0067394
NM_001113187	Khdc1b	0.002531395
NM_025746	4933415F23Rik	0.03156685
NM_001081079	Ogfrl1	1.93763
NM_172124	B3gat2	0.2997725
NM_026604	Fam135a	6.567115
NM_026503	1110058L19Rik	6.77562
NM_001081080	Phf3	29.8441
NM_011200	Ptp4a1	2.38429
NR_002688	Gm13363	4.37607
NM_153601	Lgsn	0.00053023
NM_029062	4930521A18Rik	0
NR_015347	Gm4850	0.02286195
NM_001164286	Gm5415	0.2186215
NM_145392	Bag2	3.740315
NR_033199	1700001G17Rik	0.0342946
NM_008999	Rab23	5.11602
NM_001159729	Rab23	1.080363
NM_133817	Zfp451	11.9033
NM_001161816	Gm15455	2.173925
NM_007685	Cfc1	0.562881
NM_009355	Prss39	0
NM_178601	Imp4	8.379795
NM_011206	Ptpn18	0.6671465
NM_027159	Ccdc115	3.1813
NM_009356	Prss40	0
NM_213727	Fam123c	0.02670825
NM_145516	Plekhb2	4.41103
NM_174997	Fam168b	5.94018
NM_001160235	Fam168b	0
NM_001160236	Fam168b	6.664825
NM_015818	Hs6st1	20.0578
NM_198899	Uggt1	10.85055
NM_145996	Arid5a	0.000692455
NM_172652	4632411B12Rik	7.219235
NM_153408	Neurl3	0.0118033
NM_001172206	Arid5a	0.1821765
NM_001172205	Arid5a	0.1699785
NR_033310	Arid5a	0
NM_033570	Cnnm4	1.344685
NM_001013374	Lman2l	4.569755
NM_026241	Ankrd39	1.59083
NM_027957	Fam178b	0
NM_153502	Ankrd23	0.796174
NM_001126047	Sema4c	1.882355
NM_146107	Actr1b	16.59005
NM_009942	Cox5b	47.5064
NM_009918	Cnga3	0.4601125
NM_172971	Inpp4a	0.438037
NM_030266	Inpp4a	1.646725
NM_026123	Unc50	8.388355
NM_173870	Mgat4a	1.554195
NR_024017	4930594C11Rik	4.059205
NM_001033427	Lyg2	0
NM_027098	Mrpl30	21.2785
NM_026913	Mitd1	8.988335
NM_001037918	Lipt1	2.54402
NM_172054	Txndc9	4.67564
NM_198303	Eif5b	19.17815
NM_001029878	Lonrf2	0.0601705
NM_026850	Pdcl3	21.2562
NM_001011684	Nms	0
NM_053257	Rpl31	37.5472
NM_001033135	Rnf149	6.440025
NR_028555	Snord89	3.032505
NM_028043	D1Bwg0212e	10.06584
NM_170597	Creg2	0.02482215
NM_001145660	Rfx8	0.029101
NM_010555	Il1r2	0.06599535
NM_133193	Il1rl2	0.0596347
NM_010553	Il18rap	0
NM_008365	Il18r1	0
NM_001161843	Il18r1	0
NM_177084	Slc9a4	0
NM_172499	Mfsd9	0.408522
NR_027891	2900092D14Rik	0.026327
NM_008900	Pou3f3	0.09578285
NM_023514	Mrps9	12.9537
NM_053107	Gpr45	0
NM_010212	Fhl2	3.424225
NM_133818	AI597479	8.10274
NM_024283	1500015O10Rik	0.06547735
NM_026430	Uxs1	4.874755
NM_029368	1700029F09Rik	11.1574
NM_001013799	A530098C11Rik	0.0763975
NM_207281	4832428D23Rik	0
NM_144558	Bivm	5.441065
NM_011729	Ercc5	11.90135
NM_009930	Col3a1	0.42152
NM_016917	Slc40a1	12.8162
NM_172653	Slc39a10	15.2008
NM_138741	Sdpr	0.0951618
NM_028696	Obfc2a	17.77765
NM_011487	Stat4	1.30872
NM_009283	Stat1	1.3607
NM_001113383	Gls	11.33085
NM_001081081	Gls	1.496515
NM_008667	Nab1	2.052565
NM_133829	Mfsd6	0.752576
NM_178081	Mfsd6	0.0703835
NM_008384	Inpp1	1.1363425
NM_144953	1700019D03Rik	6.249685
NM_010834	Mstn	0
NM_027070	1700019A02Rik	1.1037655
NM_133728	Asnsd1	25.0442
NM_145517	Ormdl1	5.414825
NM_028091	Osgepl1	3.822225
NM_133810	Stk17b	11.4454
NM_001033194	Gtf3c3	10.4472
NM_001163314	Pgap1	3.552285
NM_001039710	Coq10b	3.452595
NM_026424	Coq10b	1.20198
NM_008303	Hspe1	63.43535
NM_010477	Hspd1	73.62055
NM_025283	Mobkl3	10.19349
NM_028713	Rftn2	0.224445
NM_175439	Mars2	2.28837
NM_029267	Boll	0.2296515
NM_001113367	Boll	0.04941945
NM_027661	Hsfy2	0
NR_024326	9130024F11Rik	0
NR_024325	9130024F11Rik	0.50475
NM_001114102	1110034B05Rik	0
NR_004860	1110034B05Rik	2.611848
NM_001037742	1110034B05Rik	1.779665
NM_001081181	9430016H08Rik	6.63037
NM_028546	1700066M21Rik	1.513755
NM_030211	Kctd18	0.42176
NM_001159865	Kctd18	0.2651575
NM_001159864	Kctd18	2.23689
NR_027630	Kctd18	0.97911
NM_009676	Aox1	0.09288155
NM_023631	Aox4	0.01725655
NM_001008419	Aox3l1	0.0121767
NM_022988	Nif3l1	8.68481
NM_008765	Orc2	13.54525
NM_001042634	Clk1	18.9111
NM_027374	Ppil3	2.02357
NM_027351	Ppil3	9.750455
NR_027854	Clk1	9.74727
NR_027853	Clk1	0
NM_001025378	Orc2l	5.32066
NM_025597	Ndufb3	26.40165
NM_207653	Cflar	1.39577
NM_009805	Cflar	0.3699775
NM_009812	Casp8	0.6006915
NM_001080126	Casp8	0.1526605
NM_172656	Stradb	2.33472
NM_145143	Mpp4	0
NM_001164682	Mpp4	0
NM_001033449	Als2cr4	1.734945
NM_001037812	Als2cr4	3.334685
NM_146109	Als2	0.904839
NM_008057	Fzd7	14.7288
NM_018868	Nop58	83.15795
NM_009460	Sumo1	39.063
NR_028521	Snord11	0
NM_027407	Ica1l	0.103156
NM_021312	Wdr12	10.1111
NM_198127	Abi2	10.475655
NM_009843	Ctla4	0
NM_017480	Icos	0.01597975
NM_001081436	Ino80d	3.29363
NM_001114609	Ino80d	2.563205
NM_146250	Gpr1	0.2901755
NM_145518	Ndufs1	4.581115
NM_018796	Eef1b2	351.0575
NM_001160038	Ndufs1	4.46184
NM_001160039	Ndufs1	4.819255
NM_001160040	Ndufs1	4.913055
NM_028673	Zdbf2	8.98129
NM_172422	Fastkd2	8.37992
NM_029696	Mdh1b	0.05183145
NR_027824	Gm13749	0
NM_025964	Fam119a	2.43097
NM_022721	Fzd5	2.468365
NM_001042659	Fzd5	3.02431
NM_001082573	Crygc	0
NM_007776	Crygd	0.03382405
NM_027582	4921521F21Rik	0
NM_007775	Crygc	0.02896715
NM_007777	Cryge	0.07653305
NM_144761	Crygb	0
NM_010497	Idh1	22.13925
NM_001111320	Idh1	6.94774
NM_007774	Cryga	0.119271
NM_175293	D630023F18Rik	1.52746
NM_027010	Crygf	0.0100812
NM_025683	Rpe	20.45365
NM_007381	Acadl	15.205
NM_021295	Lancl1	4.715845
NM_007525	Bard1	9.607375
NM_026195	Atic	32.36295
NR_027659	Gm8883	0
NR_027658	Gm8883	0.02991945
NM_175564	Tmem169	0.185895
NM_023523	Pecr	11.11805
NM_009533	Xrcc5	20.71275
NM_018817	Smarcal1	3.335445
NM_009084	Rpl37a	53.79495
NM_010518	Igfbp5	0.306935
NM_009407	Tnp1	0
NR_003202	Pinc	0.03545635
NM_009909	Cxcr2	0.05732225
NM_029711	Arpc2	60.1572
NM_178241	Cxcr1	0
NM_019999	Pnkd	6.576945
NM_025580	Pnkd	3.23889
NM_013612	Slc11a1	0.26802
NM_174985	Gpbar1	0.0866664
NM_153088	Ctdsp1	8.8977
NM_001039509	Pnkd	0
NM_001033345	Gm216	0.10005665
NM_027154	Tmbim1	12.8165
NM_146110	Aamp	25.16975
NM_021383	Rqcd1	24.13695
NM_009509	Vil1	0.13107335
NM_175031	Stk36	0.6998595
NM_025784	Bcs1l	4.53203
NM_001081456	Plcd4	0.1656295
NM_148937	Plcd4	0.290718
NM_029888	Zfp142	2.69329
NM_021313	Rnf25	5.676425
NM_024264	Cyp27a1	0.45282
NM_009526	Wnt6	1.521
NM_153744	Prkag3	0.03130755
NM_153111	Fev	0
NM_009872	Cdk5r2	0.09623945
NM_021541	Cryba2	0
NM_010544	Ihh	0.0702126
NM_009447	Tuba4a	15.0726
NM_026187	Ankzf1	3.695005
NM_170755	Fam134a	4.93412
NM_001159905	Zfand2b	0
NM_026977	1810031K17Rik	4.346125
NM_023732	Abcb6	2.307825
NM_011494	Stk16	3.44935
NM_194333	Slc23a3	0.01343825
NM_029010	Glb1l	0.6159355
NM_026846	Zfand2b	1.38133
NM_001003917	Atg9a	2.508315
NM_001159906	Zfand2b	1.407015
NM_008985	Ptprn	2.08909
NM_009049	Resp18	0.12084475
NM_016878	Dnpep	19.71665
NM_001110831	Dnpep	3.006765
NM_010043	Des	4.535085
NM_007463	Speg	0.2112955
NM_001085370	Speg	0.1886425
NM_133708	Gmppa	5.66892
NM_183022	Accn4	0.0668919
NM_001085371	Speg	0.343981
NM_001173477	Speg	1.432175
NM_001001565	Chpf	1.2041065
NM_177056	Tmem198	0.2042085
NM_001001566	Chpf	2.484705
NM_027886	Stk11ip	3.187665
NM_009208	Slc4a3	1.09291
NM_010564	Inha	0.560272
NM_011811	Farsb	30.4702
NM_028817	Acsl3	0
NM_001136226	Utp14b	6.163975
NM_001136222	Acsl3	0
NM_001001981	Utp14b	9.73193
NM_001033606	Acsl3	23.6459
NM_021342	Kcne4	0.0236069
NM_009129	Scg2	0
NM_183027	Ap1s3	2.5635
NM_001111279	Wdfy1	4.60252
NM_001081210	Mrpl44	10.56032
NM_173425	Fam124b	0.00966315
NM_016716	Cul3	35.2226
NM_010570	Irs1	4.488365
NM_001122685	Rhbdd1	0
NM_029409	Mff	23.698
NM_025453	Tm4sf20	0.1896575
NM_030556	Slc19a3	0.8631555
NM_027725	Wdr69	0.04094145
NR_027636	Wdr69	0
NM_016960	Ccl20	0
NM_001159738	Ccl20	0.1421749
NM_025386	Fbxo36	3.402
NM_027921	Slc16a14	0.0588675
NM_213615	A530032D15Rik	0.16176
NM_175219	C130026I21Rik	0
NM_001037909	C130026I21Rik	0.1719335
NM_175397	Sp110	0.1320175
NM_001013817	Sp140	0.6978625
NM_177055	A630001G21Rik	0.1422725
NM_133781	Cab39	18.30765
NM_022417	Itm2c	16.27855
